Name,MV_Reported,DistanceModulus_Reported,HelioDistance_Reported,SMA_Angular_Reported,CircRadius_Angular_Reported,SMA_Physical_Reported,CircRadius_Physical_Reported,Ellipticity,CircRadius_Physical_Derived,Radius_Reference,MV_Reference,Pure,Comment
balbinot_1,-1.21,,31.9,0.6,,7.24,,,7.24,1212.5952,1212.5952,True,NO_ELLIPTICITY
bliss_1,0,16.87,23.7,0.6,0.58,,4.1,0.06,4.1,1812.06318,1812.06318,True,DIRECT_RHALF
crater_1,-5.3,,145,,0.46,,19.4,0,19.4,1510.08533,1510.08533,True,ZERO_ELLIPTICITY
delve_1,-0.2,16.39,19,1.1,0.97,,5.4,,5.4,1912.03301,1912.03301,True,DIRECT_RHALF
delve_2,-2.1,19.26,71,1.04,1.02,,21,0.03,21,2009.0855,2009.0855,False,DIRECT_RHALF
delve_3,-1.3,18.73,56,,0.4,,7,,7,2209.12422,2209.12422,True,DIRECT_RHALF
delve_4,-0.2,18.28,45,0.49,0.36,6,5,0.4,5,2209.12422,2209.12422,True,DIRECT_RHALF
delve_5,0.4,17.97,39,0.68,0.45,8,5,0.6,5,2209.12422,2209.12422,True,DIRECT_RHALF
delve_6,,,,,,,,,,,,False,THISPAPER
des_1,-1.42,19.4,76,0.245,,5.5,,0.41,4.21,1712.01439,1712.01439,True,MANUALCALC
des_3,-2,19.41,76.2,0.3,,6.65,,0.18,5.98,1709.05689,1709.05689,True,MANUALCALC
des_4,-1.1,17.5,31.3,0.83,,7.58,,,7.58,1805.06473,1805.06473,True,NO_ELLIPTICITY
des_5,0.3,17,24.8,0.18,,1.31,,,1.31,1805.06473,1805.06473,True,NO_ELLIPTICITY
DESJ01111341,0.3,17.12,26.5,,,,,,,,,False,EXCLUDE
DESJ02250304,-1.1,16.88,23.8,,,,,,,,,False,EXCLUDE
draco_2,-0.8,16.67,21.5,3,,19,,0.23,16.48,1807.10655,1807.10655,True,MANUALCALC
eridanus_3,-2.07,19.8,91,0.315,,8.6,,0.44,6.43,1712.01439,1712.01439,True,MANUALCALC
gaia_1,,,,,,,,,,,,False,EXCLUDE
gaia_2,,,,,,,,,,,,False,EXCLUDE
gaia_3,,,,,,,,,,,,False,EXCLUDE
hsc_1,-0.2,18.3,46,0.44,,5.9,,0.46,4.3,1906.07332,1906.07332,True,MANUALCALC
kim_1,0.3,16.48,19.8,1.2,,6.9,,0.42,5.23,1411.3063,1411.3063,True,MANUALCALC
kim_2,-1.5,20.1,104.7,0.42,,12.8,,0.12,11.98,1502.03952,1502.03952,True,MANUALCALC
kim_3,0.7,15.9,15.14,0.52,,2.29,,0.17,2.08,1512.0353,1512.0353,True,MANUALCALC_no_errors
koposov_1,-1.04,,48.3,0.62,,8.7,,0.54,6.3,1806.06891,1806.06891,True,MANUALCALC
koposov_2,-0.92,,34.7,0.44,,4.4,,0.45,3.27,1806.06891,1806.06891,True,MANUALCALC
laevens_3,-2.8,18.94,61.4,0.64,,11.4,,0.11,10.72,1909.08622,1909.08622,True,MANUALCALC
munoz_1,-0.4,,45,0.49,0.49,7.1,7.1,0,7.1,1204.575,1204.575,True,ZERO_ELLIPTICITY
ps1_1,-1.9,17.4,29.6,0.55,,4.69,,,4.69,1805.06473,1805.06473,True,NO_ELLIPTICITY
sagittarius_2,-5.2,19.2,70.2,,1.6,,32,0,32,1804.08627,1804.08627,True,ZERO_ELLIPTICITY
segue_3,-0.04,16.14,16.9,0.433,,2.1,,0.23,1.83,1107.3151,1107.3151,True,MANUALCALC
smash_1,-1,18.8,57,0.57,0.44,9.1,7.1,0.62,7.1,1609.05918,1609.05918,True,DIRECT_RHALF
to_1,-1.6,18.2,43.6,0.27,,3.45,,,3.45,1805.06473,1805.06473,True,NO_ELLIPTICITY
ymca_1,-0.47,18.72,55,,0.215,,3.5,0,3.5,2204.0242,2204.0242,True,ZERO_ELLIPTICITY
